country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tuvalu,,,,1900,2200,2900,2800,2700,2600,2300,2200,2000,2400,,,,2100,,,,,,,,
Tanzania,157k,148k,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,148k,241k,327k,153k,152k,184k,189k,231k,189k,254k,272k,337k,311k,324k,367k,469k,471k,511k,523k,568k,,,
Ukraine,,,,,,,,,,,,,17.9M,16.1M,16M,17.7M,20.3M,21.8M,24M,22.6M,23.3M,25.2M,27.1M,28M,29.3M
Uruguay,,,562k,654k,778k,667k,531k,530k,495k,569k,658k,666k,635k,734k,826k,1.03M,1.53M,1.82M,2.28M,2.4M,2.22M,1.72M,1.79M,1.95M,2.2M
United States,74M,76.8M,78.5M,82.8M,84.5M,88M,84.8M,80.9M,75.9M,79.7M,79.2M,149M,140M,136M,130M,122M,114M,116M,119M,122M,130M,142M,148M,158M,
Uzbekistan,,,246k,247k,202k,217k,183k,264k,400k,455k,572k,893k,1.25M,1.15M,1.32M,1.61M,,,3.12M,2.79M,3.49M,3.85M,5.18M,8.59M,8.44M
Venezuela,534k,511k,460k,752k,754k,954k,933k,881k,832k,816k,1.07M,1.09M,1.41M,1.75M,1.65M,1.48M,1.72M,1.73M,1.93M,1.59M,1.54M,1.53M,1.08M,,
British Virgin Islands,,,,,,,,,,,,171k,166k,166k,140k,151k,145k,139k,,,,,,,
Vanuatu,11k,11k,11k,12k,12k,12k,11k,11k,12k,13k,14k,15k,16k,19k,20k,21k,22k,23k,26k,26k,27k,25k,28k,29k,35k
Samoa,,,,,58k,61k,56k,53k,51k,54k,52k,51k,52k,53k,43k,56k,57k,56k,51k,57k,54k,,55k,64k,69k
Zimbabwe,256k,69k,123k,213k,331k,,,,386k,498k,474k,541k,547k,593k,631k,650k,693k,720k,2.95M,3.18M,3.39M,3.19M,2.77M,2.29M,3.27M
